,read_code
0,G2
1,G20
2,G200
3,G201
4,G202
5,G203
6,G20z
7,G24
8,G240
9,G240z
10,G241
11,G241z
12,G244
13,G24z
14,G24z0
15,G24zz
16,G25
17,G250
18,G251
19,G26
20,G28
21,G2y
22,G2z
23,u2
24,u20
25,C10
26,C109J
27,C109K
28,C10C
29,C10D
30,C10E
31,C10E0
32,C10E1
33,C10E2
34,C10E3
35,C10E4
36,C10E5
37,C10E6
38,C10E7
39,C10E8
40,C10E9
41,C10EA
42,C10EB
43,C10EC
44,C10ED
45,C10EE
46,C10EF
47,C10EG
48,C10EH
49,C10EJ
50,C10EK
51,C10EL
52,C10EM
53,C10EN
54,C10EP
55,C10EQ
56,C10ER
57,C10F
58,C10F0
59,C10F1
60,C10F2
61,C10F3
62,C10F4
63,C10F5
64,C10F6
65,C10F7
66,C10F9
67,C10FA
68,C10FB
69,C10FC
70,C10FD
71,C10FE
72,C10FF
73,C10FG
74,C10FH
75,C10FJ
76,C10FK
77,C10FL
78,C10FM
79,C10FN
80,C10FP
81,C10FQ
82,C10FR
83,C10FS
84,C10G
85,C10G0
86,C10H
87,C10H0
88,C10M
89,C10M0
90,C10N
91,C10N0
92,C10N1
93,u55
94,G3
95,G30
96,G300
97,G301
98,G3010
99,G3011
100,G301z
101,G302
102,G303
103,G304
104,G305
105,G306
106,G307
107,G3070
108,G3071
109,G308
110,G309
111,G30B
112,G30X
113,G30X0
114,G30y
115,G30y0
116,G30y1
117,G30y2
118,G30yz
119,G30z
120,G31
121,G311
122,G3110
123,G3111
124,G3112
125,G3113
126,G3114
127,G3115
128,G311z
129,G312
130,G31y
131,G31y0
132,G31y1
133,G31y2
134,G31y3
135,G31yz
136,G32
137,G33
138,G330
139,G3300
140,G330z
141,G33z
142,G33z0
143,G33z1
144,G33z2
145,G33z3
146,G33z4
147,G33z5
148,G33z6
149,G33z7
150,G33zz
151,G34
152,G340
153,G3400
154,G3401
155,G342
156,G343
157,G344
158,G34y
159,G34y0
160,G34y1
161,G34yz
162,G34z
163,G34z0
164,G35
165,G350
166,G351
167,G353
168,G35X
169,G38
170,G380
171,G381
172,G382
173,G383
174,G384
175,G38z
176,G39
177,G3y
178,G3z
179,G61
180,G610
181,G611
182,G612
183,G613
184,G614
185,G615
186,G616
187,G618
188,G619
189,G61X
190,G61X0
191,G61X1
192,G61z
193,G63y0
194,G63y1
195,G64
196,G640
197,G6400
198,G641
199,G6410
200,G64z
201,G64z0
202,G64z1
203,G64z2
204,G64z3
205,G64z4
206,G65
207,G650
208,G651
209,G6510
210,G652
211,G653
212,G654
213,G656
214,G657
215,G65y
216,G65z
217,G65z0
218,G65z1
219,G65zz
220,G66
221,G660
222,G661
223,G662
224,G663
225,G664
226,G665
227,G666
228,G667
229,G668
230,G6760
231,G6W
232,G6X
233,G73
234,G734
235,G73y
236,G73z
237,G73z0
238,G73zz
239,u3
240,u30
241,u32
242,u33
243,u34
244,u35
245,u36
246,u62
247,u63
248,u64
249,u65
250,u66
251,u6F
252,u6G
253,u74
254,V12D
255,G4
256,G41
257,G42
258,G43
259,G44
260,G4Z
261,C3411
262,K12
263,K120
264,K1200
265,K120z
266,K122
267,D31
268,K20
269,K200
270,K201
271,K202
272,K20z
273,C34
274,C340
275,C341
276,C3410
277,C341z
278,C342
279,C343
280,C344
281,C345
282,C346
283,C34y
284,C34y0
285,C34y1
286,C34y2
287,C34y3
288,C34y4
289,C34y5
290,C34y6
291,C34yz
292,C34z
293,N00
294,N000
295,N0000
296,N0001
297,N0002
298,N0003
299,N0004
300,N0005
301,N0006
302,N000z
303,N001
304,N0010
305,N0011
306,N0012
307,N002
308,N003
309,N0030
310,N0031
311,N003X
312,N004
313,N005
314,N006
315,N00y
316,N00y0
317,N00y1
318,N00z
319,u4
320,u40
321,u41
322,u42
323,u43
324,u44
325,u45
326,u46
327,u47
328,u48
329,u4C
330,u4D
331,u4E
332,u4F
333,d6
334,d61
335,d611
336,d612
337,d613
338,d614
339,d615
340,d616
341,d617
342,d618
343,d619
344,d61s
345,d61v
346,d61w
347,d61x
348,d61y
349,d61z
350,d62
351,d621
352,d622
353,d623
354,d624
355,d625
356,d62w
357,d62x
358,d62y
359,d62z
360,h82
361,h821
362,h822
363,h823
364,h824
365,h825
366,h826
367,h827
368,h828
369,h829
370,h82A
371,h82B
372,h82C
373,h82D
374,h82E
375,h82F
376,h82G
377,h82H
378,h82I
379,h82J
380,h82K
381,h82L
382,h82M
383,h82N
384,h82O
385,h82P
386,h82Q
387,h82w
388,h82x
389,h82y
390,h82z
391,h83
392,h831
393,h832
394,h833
395,h834
396,h835
397,h836
398,h837
399,h838
400,h839
401,h83A
402,h83B
403,h83C
404,h83D
405,h83E
406,h83F
407,h83G
408,h83H
409,h83I
410,h83J
411,h83K
412,h83L
413,h83M
414,h83N
415,h83O
416,h83P
417,h83Q
418,h83R
419,h83S
420,h83T
421,h83U
422,h83o
423,h83p
424,h83q
425,h83r
426,h83s
427,h83t
428,h83u
429,h83v
430,h83w
431,h83x
432,h83y
433,h83z
434,K04
435,K040
436,K041
437,K042
438,K043
439,K0430
440,K0431
441,K0432
442,K0433
443,K0434
444,K044
445,K045
446,K046
447,K0460
448,K0461
449,K047
450,K048
451,K049
452,K04A
453,K04B
454,K04C
455,K04D
456,K04E
457,K04y
458,K04z
